tweet,label
@user @user NPSOfficial KE Kimbelembele utaacha tu karibuni...ulitupa kiti ya @user kwa nini kama wewe sio @user wazimu,NEUTRAL
@user @user NPSOfficial KE I thought you were the front soldiers of Baba,NEUTRAL
@user @user NPSOfficial KE Baba has got a reliable foot soldier in you. You risked your life for Baba s vote. Patriotic Let s remain hopeful that it is coming home.,NEUTRAL
@user @user No doubt they have called him all sorts of names but we’ve grown n see his work since 2002 . @user ThE5th is my baba of leadership forevever,FACT
The @user interview in this episode . How President-Elect @user went to his law firm picked him up and introduced him to active politics after reading his Sunday Nation column. Very interesting stuff plus Your narration ...am in so much awe enocksikolia . https://t.co/AVBPoa9rYa,NEUTRAL
@user @useroLegend1 @user Ni kama atakuja,NEUTRAL
@user Tunapiga signing kuliko Manchester united,NEUTRAL
@user @user Mhesh amefanya poa kujoin gava bro he will deliver more on his promises to us while in government than in the opposition,NEUTRAL
@user your brother Ray n to your children too. Just coz your father s it must not you be. Work hard n we have to vanquish you politically for now. @user UDA Kenya thanks making these guys wake up n Work hard. Ya baba yenu kuleni n take horse rides https://t.co/LzgXSqR0oV,NEUTRAL
@user Kama ulishindwa kubali yaishe justice does not mean that you have to be the winner. It s the majority of Kenyans who rigged you out and rigged in @user and not IEBC Kenya as you claim. The Court will still humiliate you,NEUTRAL
@user @user @user @user @user @user Dad Kwani mtu mmoja anaibiwa elections 5 times in a row....Mtu akishindwa ki-halali anashinda huku akisema IEBC Chair ako na makosa..... Yaaani he has to win for a chair to be good ...Hakuendangi hivyo...Asiyekubali kushindwa sio mshindani,NEUTRAL
@user Pamoja my my prezo elct,FACT
@user  @user @user Haya There’s actually such a verse in the Bible Wow I’m learnt a gem of a quote “The one who states his case first seems right until the other comes and examines him.” Proverbs 18:17 https://t.co/dJawj9,NEUTRAL
Azimio la Umoja-OKA leader @user and @user file petition at the Supreme Court challenging President-elect @user ’s win in August 9 poll. https://t.co/3X8fmwm6tK,FACT
"@user  @user @user Indeed Baba WON Even as we pursue justice through the courts today we ask the Honourable Supreme Court Judges to make a fair and just ruling based on the evidence that will be presented before them. Let them not be intimidated by the gang of thieves.
Recount-Retally-Declar",FACT
@user @user @user Do you support Azimio la Umoja coalition decision to challenge IEBC Kenya led by @user @user to declare @user as the president elect at the supreme court of Kenya,NEUTRAL
@user F@user  @user @user @user When people were busy voting other busy bodies somewhere were escorting their baba to vote.,FACT
This is when Malala lost @user had a realistic chance but was short changed by @user because he is poor. But am happy he has revenged on @user @user @user Toa Maoni https://t.co/CnavFtoAkn,FACT
MWALIMU interiorke@user @user Kubali mmeshindwa Kakamega na Mombasa gained or lost grounds notwithstanding.,NEUTRAL
The Only WAY I know BABA is telling me Truth is Baba is Truly A Billionaire am not BUT His Fight is about Me than Him....Not Like @user Hustler but goes buying Leadership to back Him ... @user why do you want Leadership .....BABA @user Forever https://t.co/ywJiZCchCp,NEUTRAL
Lol @user Osiany was eating from both sides expecting @user to retain him. I tell you baba rewards thankful characters,FACT
President Elect @user good night Freedom is coming and God is with you the people of Kenya are looking forward to your leadership as the President of the Republic of Kenya wengine laleni venye mnataka :,NEUTRAL
@user @user I voted for Baba but @user is brighter,NEUTRAL
@user Kojoa ulale nauzoe @user is president frm tomorrow,FAKE
@user Supreme Court will unanimously uphold the victory of @user,NEUTRAL
@user you can t expect Kenyan lawyers or rather SCOK to rule your useless petitions basing on baba being orphan never If there are no tangible evidence to support your client s petition please advise your client to concede the defeat and congratulate @user,FACT
@user Eric Gumbo: If out of 46 000 KIEMS kits only 200 do not work would I say I have failed Is this lawyer serious surely KURA2022 SupremePetition,FACT
Thirdway Kenya @user @user @user IEBC Kenya @user @user kenya @user @user @user EbruTVKenya TheStarBreaking @user BreakingNewsKE @user KBCCh@user l1 Sasa Kukosa kuwa cleared by IEBC ni kitu ya kufanya mtu kukasirikia @user,NEUTRAL
Had it not been SK @user s wisdom for Citizen Tv to tally and update results TRUST ME Kenya would have been on FIRE Neither side would have bought @user s story of waiting for RESULTS TO REACH Nairobi and start counting. Mzee wa hekima na busara SK @user .,NEUTRAL
@user @user @user Boss instead of downloading forms you rely on @user . @user outsmarted Azimio bloggers. Sahi @user anapiga hesabu,NEUTRAL
Sir I believe you re on point sir. @user will garner 62 - 64 percent of the Total Votes cast come 9th August Our only prayer that @user and IEBC Kenya will take us through a transparent verifiable process that will alleviate any doubts in the minds of Azimio Umoja,FAKE
There is something I have realised about the crowds in Azimio rallies. They are unenthusiastic. They are unconvinced. They are sceptical. 4 times they have been told Giniwasekao and they are now fatigued. Yes they will vote for Baba but they know he will not win @user,NEUTRAL
My vote my choice Honarable @user for Nairobi Women Representative @user mamawetu jubileeparty k,NEUTRAL
@user @user @user Ushenzi wa hali ya juu wewe mwenyewe hauna vote ni mdomo tu unapiga January to December @user respect Baba or I ll make you respect him nkt,NEUTRAL
thamuelinene @user My friend i come from Matungu Constituency in Kakamega County even my grandma at age 96 will vote for BABA..... yesterday Khaniri MDVD only senator in ANC defected we cannot side with THIEVES anymore Western is locked under DAP Kenya in AZIMIO,NEUTRAL
Congratulations the next president you representend your people very well in today NDC I WILL VOTE FOR YOU FOR PRESIDENCY @user WE CAN DO WITHOUT THEM @user I TRUST YOUR PRESIDENCY TWENDE SASA EARTHQUAKE,FAKE
Unlike people of the lake who vote blindly behind the fake baba @user the people of the mountain don t follow their leaders but use their brains before making a decision. That s why they re not following @user and his project.,NEUTRAL
@user So baba is a plumber You didnt have an mca or a water company. What about the BOG and PTA of your school..they must have been dumb That is why even if we vote you in nothing meaningful will happen since your thinking not meaningful,NEUTRAL
I have known @user for over 10 years now and she has always been the intentional caring soft outspoken friend in my circle. She’s also a leader with so much integrity. I can vouch for her While I wish her all the best I also ask that you vote for her Mama Welfare,NEUTRAL
mulikakura residents here are concerned about protecting the integrity of the vote at the polling station and the tallying centers Angaza Movement Inform Action KE @user,FACT
Sincerely speaking ODM is another cartel Here s to baba telling us to vote 6 piece,NEUTRAL
Come August btw mimi sikuwa ni Vite but what wanjigi has done for me and my bros i swear lazima nimweke my vote that s for sure lets vote in leaders who care about us sisi kama youths WanjigiInCoast,NEUTRAL
@user @user yes I will vote baba are you satisfied now,NEUTRAL
Am one of the 3.2 million LUHYAS voters who will vote for BABA on the 9th of August 2022 so help me God.,FAKE
This is total nonsense playing with our intelligence. We are not short of worship places. This is one huge reason I can’t vote for @user . Childish politics. Sasa you want to use government funds to build @user a church. @user wants your tithes and tax. All tax free https://t.co/IMFw3pSka9,NEUTRAL
@user That ain t going to happen since we gonna vote for Babathe5th overwhelmingly.,NEUTRAL
This politics of INTOLERANCE shouldnt be allowed. People would love to vote for babaa but this kind of miscreants spoil everything for him foolishly thinking they are protecting him.. https://t.co/Ws5Y5rIxhn,FAKE
@user My allegiance to @user @user @user is not dependent on @user with or without him @user i will vote yes for Baba for the last Time this year,FAKE
"Now the hard work begins in earnest. With your prayers moral support and your vote come August 9th we shall embark on a journey for the REAL TRANSFORMATION of Nakuru County.
Thanks for this far. @user GovernorNiMama
ChamaNiUDA
TransformingNakuru
PuttingPeopleFirst https://t.co/x4jlHK6R8p",FACT
My brother @user please Accept my warm congratulations on your decisive triumph in Nyaribare Chache Constituency Kisii County. I wish you success as you embark on vote hunt for self and Baba H.E @user,NEUTRAL
@user TutiJr You with your one vote yet you never even vote kazi ni kulewa na kuja kubishana twitter kama mjinga kajifunze kupiga kura kwanza before ukuje kuniambia mambo za votes,NEUTRAL
"People underestimated @user .
That man is courageous.
@user the 5th take it away. Wengine tuende court",FACT
Something am sure if one team must be disappointed Sisi team Roots Party we know the reason why we voted for @user gl@user @user @user,NEUTRAL
"@user  Mzae Line up
@user rotichwisley @user Adamskipsanai @user @user",NEUTRAL
@user @user @user @user @user @user MCA pea Abass,NEUTRAL
@user @user @user mmoja @user So you admit that he s in government,NEUTRAL
@user Tunajua ni job unatafuta ya kuwakilisha @user na UDA Kenya in Supreme next week challenging @user @user victory.,NEUTRAL
@user @user @user @user We Wacha matusi bana si lazima lawyer apigie tinga kura,NEUTRAL
@user @user Wee wacha tu uone @user the 5th,FACT
@user @user @user @user @user All the best darlin We will always remain friends despite the outcome and When Baba is declared the winner just call to congradulate me,NEUTRAL
@user @user DP hananga powers kama President....Akiwa President ndio utaona change...Hold on...,FACT
On my way from Nairobi to Ikolomani Kakamega. Ingawaje walipita @user but I have to vote for @user @user and @user . We must be part of this transformation. FreedomIsComing,NEUTRAL
@user Tukopamoja tarehe 9 mwezi wa 8 kuwapeleka baba na mama nyumbani,NEUTRAL
@user Kenya @user @user @user No off polling stations 46229 not 46233 za @user,FACT
@user @user @user Hii ni propaganda Cuzo https://t.co/Cm0R4y0nLD,NEUTRAL
Nani amemwona @user Does he still believe @user is a persona non grata,NEUTRAL
The difference between godfather and God The Father is crystal clear. Darkness and light. Azzimio and kenya kwanza. Dynasties and HUSTLERS Congratulations @user God is awesome,NEUTRAL
@user IEBC Kenya @user There is an ongoing battle between good and evil the only way we win is to shine our light on the good so that the evil fades away. wizisiokazi @user wacha wizi,NEUTRAL
@user @user Wajiga WAMEKWISHA KENYA my friend who was your ENGLISH TEACHER PLEASE,NEUTRAL
@user Congratulations to you pia Sir..,NEUTRAL
@user stupidity walai I too says so,NEUTRAL
@user Lkn Sasa hiyo Jina hustler ndio inaleta tashwishi kidogo kiongoss,NEUTRAL
IEBC Kenya Our sinendet imekauka please announce. @user  @user  EmmanuelTalam @user .,NEUTRAL
ALAFU AKINA NANI TUTASAIDIANA TUENDE TUSAIDIE JAYDEN AKA @user Kenyata KUHAMISHA VITU HUKO STATEHOUSE COZ TIME IS NOT ON OUR SIDE @user Thefifth @user @user sMkenya AKO READY NA NO TIME TO BE WASTED,NEUTRAL
"@user Baabaa punguza tension ...
Kesho nakuja kukupeleka hosi",NEUTRAL
sisi hatuna pressure malizeni hizo siasa zenyu uko KICC kenya alafu mkimaliza mtupee time pia sisi na our @user Thefifth @user as we make kenya to vision 2030,NEUTRAL
dear doctor @user we asure you as our @user Thefifth so stay cool wachana na hawa wako kicc wakicelebrate kitu hakuna we love you our president we are the hustler nation leave a like for our president,NEUTRAL
OmondiSareen @user @user So we ndio unajua sana ama,NEUTRAL
@user kinyaza nabubwaya @user Watu wa matusi na makasiriko tumewazoea kuhack mmejaribu ndio but tuko macho 👁️👁️,FAKE
@user Our in commming kamba king pin by the way congratulations we are happy to have you as our governor,FACT
@user cosmochoy @user Hakika huyu ndiye atakuwa raisi wa tano kwa jamuhuri ya kenya....confirmed confirmed confirmed am not a politician but am moved by Holy ghost as it revealed to me....... nione washabiki wake kwa mpingo,NEUTRAL
@user @user @user is a tough guy made of steel chuma tupu,FAKE
Hii kitu tufunge...inanipea anxiety @user akubaki ameshindwa na twendelee @user The 5th https://t.co/FRdWwtdFZc,FAKE
@user @user @user @user Wakili we pray for your well-being. Thank you,NEUTRAL
@user @user @user  kasinga Just to Remember thou promises Kazi ni Kazi.... https://t.co/zlvxtRttUd,NEUTRAL
@user waxzyy hii ndio @user anasema ni Bottom up,NEUTRAL
@user @user UDA Kenya @user Kwanza wako verified.. Uganda wako na jokes.,NEUTRAL
@user @user and @user control the National Intelligence Service Communications Authority of Kenya SafaricomPLC AIRTEL KE Githeri Media and all armed goons yet they are still wailing about @user hacking the IEBC portal. Waache kutupima,FAKE
@user @user Ingekua ni @user angekua alitangaza hizi results juzi https://t.co/D9wEUwtQ6a,NEUTRAL
"Wee tumechokaa .. but mlima tunaendelea kupanda.
In the meantime it s coming. @user The fifth. kizungumukuti @user  @user @user 22 https://t.co/53FaCfzB3Z",NEUTRAL
@user A@user @user This strong team greet my senator Papa wa Roma,NEUTRAL
The elected president together with the peoples president of republic of Kenya have been defeated by a single man aka the Hustler from Kamagut. God the greatest @user CONGRATULATIONS SIR...... kenya kwanza @user @user @user @user,NEUTRAL
"If your text doesn t start with @user The 5th then siutajiongelesha tu baaana
@user Thefifth KenyaDecides2022 @user The5th ElectionsKE IEBCResults2022",NEUTRAL
"@user @user @user @user @user Utakuwa unaonea kenya kwa map.
Ama viusasa",NEUTRAL
"@user @user Congratulations Kenya kwanza for whooping a total of 230 mps out of 290 mp
Zoea rais mapema Nani",FAKE
@user @user The 5th nimeedea drums sasa na vuvuzela hapa hapa magunas embu we have it my ambition is high i can be a great man from nowhere ohh God thank you..its willy the 5th,NEUTRAL
@user Well done No handshake No Nusu Mkate No nusu mkeka @user,NEUTRAL
Ile Miti @user ALISEMA TUKATE NDIO TUNATUMIA KAMA KUNI HAPA SUGOI YA KUCHOMEA NYAMA PAMOJA NA VYAKULA VINGINE TUKISUBURI WAMTANGAZE DR.@user @user @user KAMA RAIS WA TANO@user @user @user @user @user,FACT
@user @user I would like to attend your swearing in ni ile Sina fare. @user @user june@user,NEUTRAL
@user Bana sitawasahau after my appointment by HE @user,NEUTRAL
@user @user That s so fast Even if you want to safeguard your seat.,FAKE
@user @user @user You empty debe...you ve been brainwashed against other people told @user is a thief a liar and all other names that suited their agenda. Kikuyu or not Kikuyu Kenya ni yetu sote and it s not limited to few individuals who feel entitled to own the country. Peace,NEUTRAL
PresidentMadobe @user Hon@user huyu tunamtaka kwa Inauguration yetu,NEUTRAL
"If atakwandalia Meza Mbele ya watesi wako was a Person @user Mungu sio adhumani @user | Nairobi CBD| @user Shame| @user | Sugoi
Kondele https://t.co/ygvwviIm7n",NEUTRAL
"Now we know why the Four Left @user during the most crucial times Lakini Mung ni nani hajawahi angusha watu wake
@user @user Team@user @user sMkenya @user | Nairobi CBD| @user Shame| @user | Sugoi
Kondele https://t.co/zgV7OkWnx2",NEUTRAL
"Of all the dumb people i have never seen a person who can say such words.
Why use God s name in this way.God will punish you @user .
MunguMbele Congrats @user TheFifth kenyaelections2022 BreakingNews @user KenyanElection2022 https://t.co/xbuv9ssKMA",NEUTRAL
@user @user @user @user Which candidate will nominate him If your tribe does not have numbers or do but are divided like Luhyas you have no chance at the first 2 slots. Others were breaking up with the dynasties sisi we wanted to break the two tribe ruling formulae. Labda aambie watu wazae uko kwao,NEUTRAL
Congratulations @user .Hakuna Deep state PresidentElect ShameOnYou commissioners https://t.co/xmLUDXbtR3,NEUTRAL
@user Jambo,NEUTRAL
@user @user @user Wewe sasa ulikuwa opposition leader between 2017 and 2022 what are your achievements,NEUTRAL
@user @user  @user @user Alafu @user upgrade comedy ya Kenya tuanze kucast sitcoms. Hii ujinga iko huku isipotee bure,FACT
@user @user @user Why would I envy abroke man afadhali ungesema hata ndugu yake ningesema afadhali,NEUTRAL
@user @user @user @user @user UDA Kenya Kama hujui hujui.. waona washindwa facts waingilia uchafu....hahaha... exposing your dirty shallow thoughts big time.. this is the Internet u can say whatever u want I m least bothered..,NEUTRAL
@user @user @user Peleka evidence kotini.,NEUTRAL
@user @user @user @user @user UDA Kenya Hata jina mpaka mutumie za wenyewe. Live up to the name Desmond Tutu ...you are not doing justice to that name.. fakeness.,NEUTRAL
@user @user @user @user @user Unaweza ongelesha tailors wa MaDVD na huyo jamaa wa purple,NEUTRAL
@user @user @user @user @user Anaweza kua senior or advisor,NEUTRAL
"Wakenya wameamua rais wao ni @user .
His opponent @user has constitutional right to disagree with president-elect @user by filling a case to Supreme Court. https://t.co/g8WE5UKwtt",FACT
@user @user Wacha tweets mingi na Tupatane kortini,NEUTRAL
@user @user @user @user @user @user UDA Kenya @user Watu wa Azimio ndio muko na makasiriko..machungu. fanyeni kazi kama viongozi wa nchi moja kenya..mbona mukasirike mucomment vibaya tena kwa posts zisizowahusu,NEUTRAL
@user @user @user @user @user @user UDA Kenya @user Kweli watu wa Azimio u know how to manipulate things.. u were the one commenting in a bad m@user r calling people puppets. I tried to correct you now u trying to manipulate the topic..🙈 Haya basi wewe pia tukuite puppet. @user pia ni puppet wa Azimio.,FAKE
"Whistl blower @user THEKING @user He finds girls like you .................
Maliza sentence.
Some men love decency thts y girls like u hardly get married. Character mamaa...",NEUTRAL
@user Mnajua viatu @user ame aa ni electronic ama mnajifanya,NEUTRAL
@user @user @user @user himself anachukua anaweka aahh,NEUTRAL
"@user @user Mungu naye nani..
God will always protect his people",NEUTRAL
@user @user @user @user @user @user @user Please ongeza volume kaka. The man is overqualified for the job.,NEUTRAL
@user Serious do you think you can snatch away @user victory hiyo sahau,NEUTRAL
@user @user Pongezi your excellency it has been a Godly battle and we win. Thanks be to God.,NEUTRAL
@user Atleast hao hawawezi ua mtu ju ya uongozi but the Sugoi land grabber @user,NEUTRAL
@user @user @user @user @user @user hope Kenya kwanza administration will try https://t.co/bsXhYO3X3f,NEUTRAL
"Whistl blower @user THEKING @user Beauty is not just make up and face but brains and your character too.
Tafakari",NEUTRAL
@user @user We Endelea kutukanana Na Kenya ikisonga mbele,NEUTRAL
@user We will tweet to his bedroom atashangaa hizi siku za Nyayo. @user,NEUTRAL
@user @user @user Lamba yeye baba. Tafuta kazi.,NEUTRAL
@user @user Sasa mbona ulikubali kufuata the loosing Jubilee team mwanzo wa safari,NEUTRAL
Dear kenya kwanza I will be working in the office of the president I request we need not to use letters to apply this is Hustler govt @user @user @user @user,NEUTRAL
"@user @user @user geemogambi nisawa.
Nimechoka na wengine hapa",NEUTRAL
Wa @user @user @user You people is a Jubilee strong holds na ilikuwa na agents all over,NEUTRAL
@user @user @user @user . You failed to perform as a chief agent for baba. Useless maasai -luo I suspect you are not circumcised,NEUTRAL
interiorkedirector @user It s none of my business kaa uko,NEUTRAL
Hi Sir @user nikuje Karen kesho,NEUTRAL
Hi his Excellency @user when you were in nakuru ulisema autatuangusha just a reminder.,NEUTRAL
@user @user @user @user @user @user UDA Kenya @user @user your team is full of uncouth people not polished no diplomacy..watu wa mitaani tu,NEUTRAL
@user @user @user @user @user @user UDA Kenya Nyinyi watu wa baba lack m@user rs and sophistication..u lack diplomacy yaani just there for the sake of it..,NEUTRAL
"Whistl blower @user @user Whistle blower.. the team u support is so uncouth and u are an example... hamuna adabu.. learn some m@user rs...
FREEDOM IT IS..",NEUTRAL
@user @user I wish we had people like Noor Gabow DiG at Embakasi things could have been better. Alimtoa yule Nyanya Bomas https://t.co/EmoMmKSXJF,FAKE
@user Serious harvesting currently ongoing harvest TheWiperParty MPs na makelele inahisha pap,NEUTRAL
@user @user @user I m currently recruiting for new neighbours coz @user amekua kichwa ngumu,NEUTRAL
@user @user @user @user He had given you Millicent Omanga for the capital city. Hapo kwa substance utasubiri sana.,NEUTRAL
Farah Naman @user @user @user Really wondering too Enyewe sheria ni kwa wanyonge tu,FAKE
@user The stolen victory Kenya kwisha,FAKE
"Prior the results announcement.
@user @user and @user @user President-Elect @user @user Should not give in to this Losers.
Warudi Bondo Wakaange Omena huko.
@user @user @user @user kenyaelections2022 KenyaDecides2022 statehouse @user @user i https://t.co/TTkc8l4Rc1",FAKE
@user Congratulations rais,FACT
"InTheLightsGlow @user @user Legalise Hemp
HempIsNotBangi HempSiBangi
https://t.co/ViCgawnWtM",NEUTRAL
@user Kazi imeanza Kudos,NEUTRAL
Out of 12 independent MPs 10 of them have joined Kenya Kwanza Government Coalition this is a huge plus to us team hustlers.. ..Good work H.E @user we love you sir. Makofi @user @user,FACT
I’m hearing “ @user ameshinda sasa ngojeni muone siku za Moi zikirudi” over and over again. I hope he will prove them wrong.,NEUTRAL
@user @user Kwn ulitafuta side gani ya soko,NEUTRAL
"@user @user @user Siasa ni kujipanga my friend....
FolloMe @user @user Congratulations @user https://t.co/wLiXJDpQxI",NEUTRAL
@user Me ..niko ready kutravel @user @user,NEUTRAL
@user @user @user Kwani unatweet ukiwa jela,NEUTRAL
@user IEBC Kenya @user @user @user @user Ask one @user what he is going through@user will also tell you what he is ripping after what he did and you @user mutanganyifu yours will be history.,NEUTRAL
"@user Your excellency abolish CBC in the first 100 days.
It s a bogus system.
Afadhali barabara zikae but let s have a sound education system.A system that can produce scholars not quacks",NEUTRAL
@user @user IEBC Kenya @user Hii in kaa fake account,NEUTRAL
Declaracion @user @user We also accept your addition...kazi ni kazi tupeleke Kenya mbele,NEUTRAL
@user na usisahau This guy must be stoped,NEUTRAL
@user @user @user Very true Hand shake commissioners.Kenya Kwanzaa milele.We are proud of you our Leaders.Dr.@user my President my choice mbele kuzuri pesa mfukoni,NEUTRAL
@user @user @user @user Kila siku ati umeibiwa With the deep state system police money given to CHER ERROR,FAKE
@user has want missing since Tuesday his daily YouTube ch@user l about Gema and mt kenya politics is nolonger active ama mzee pressure imepanda he never believed that @user was going to be the 5th,NEUTRAL
@user @user @user @user @user @user @user Kenya Judiciary sasa ona nani aliandika hii @user @user,NEUTRAL
Hon. @user the self proclaimed king of Suk threw @user under the bus by congratulating @user immediately uncle Chebz did his thing Jana wueh Lakini siasa kweli si hasa. KenyanElection2022,NEUTRAL
@user has already declared @user as the opposition Kazi kwisha Hongera H.E. @user cc @user @user @user @user @user KenyaDecides2022 KenyanElection2022 PresidentElect https://t.co/6LbJSv7NrY,NEUTRAL
@user @user Huyu mjamaa kusema ukweli ametuingiza na tukubali….kama wale wasee wa kadi pale bus station.,NEUTRAL
@user IEBC Kenya @user Tulia hapo mzee @user . Mlihadaa baba tutawaonyesha. @user is the 5th PORK soea rais wako mapema shenzi sana,NEUTRAL
@user @user @user There is what we call proportional percentage and sequential percentage in numbers. Those of you working out 0.01percent to get 1400 you are doing it proportionally which never applied to a moving percentage. Shida ya kuachia hesabu kwa class 8,NEUTRAL
@user @user @user @user Mzee @user those are the exact percentages don t be lied to by those sycophants who are just out to benefit from you https://t.co/1kkudhCBnu,NEUTRAL
Umesahau ule wa environment. wapi Vile aliita @user karani buana citing wako same wozzap group https://t.co/3UlaeI3UDb,NEUTRAL
@user @user EBC Kenya @user Mlijua halafu mkaacha Nkt.... msituchose let Baba rest,NEUTRAL
@user @user jirani wacha nilale.uga ni ksh.230/ equals,NEUTRAL
You wanna know @user hatari ndio hiyo….. XYZ were ahead of there time https://t.co/QzoZoNgaex,NEUTRAL
Dear @user forgive all the evil doings they said and did against you but this one Hii ilituuma sana Act accordingly and swiftly https://t.co/dqaAEBGh3O,NEUTRAL
@user @user Mr @user you should know that you are the source of fail for @user ulileta kizungu mingi na maandiko za nonsense instead mngekimbia ground kubonga na watu now see your life go back to new York or else,NEUTRAL
"President @user and Kenya Kwanza government will not revenge to the likes of @user @user @user @user andco for constantly branding him a thief.
A wise man said: don t take revenge. The rotten fruits will fall by themselves. @user let God revenge for you...",NEUTRAL
@user @user Zoea rais wako na ufanyia watu wako kazi hao ndio walikupea kura wachana na national politics @user n kama kazi ya kuvukisha watu wa chama yake tu,NEUTRAL
@user This being the same woman who before @user declared @user as the president-elect said they had won only that they couldn t announce themselves. The kiburi has come to taunt her. Now let her simia,FAKE
@user is very genius bana the same bomas they booed him on BBI is the same podium he received the certificate as president elect...waah https://t.co/rDTG99uhFe,NEUTRAL
Appointment of 128 parastatal heads in 2018 declared unconstitutional by the High Court. Kazi imeanza. @user drain the swamp... @user @user,NEUTRAL
Iamstareunice @user @user Haitaki hasira mingi you sound miserable and a very confused character...what do you gain when your own black brother is being mistreated and treated like an outsider,NEUTRAL
Kuna watu wanadanganywa ati yule jamaa will be announced as the President after re-tally. While @user is preparing for any eventuality cha Baba - cha mama inachezwa boardrooms trying to jumpstart the failed system. Shauri yao. https://t.co/dyiWtaxH3t,FAKE
@user @user @user Sasa acha Kulia na upige simu kwa @user useme hivo..nonsense,NEUTRAL
@user @user @user is the Kenya President...enda ukaskie vibaya na hukoo https://t.co/Sje7UYb7kv,NEUTRAL
@user Mvua iko karibu kunyesha mkuu io fertilizer naiongoja sana apishwa uanze kazi achana na macho makubwa ya chura ambayo hayanyimi TEMBO kunywa maji,NEUTRAL
@user @user @user After @user is sworn in sijui mtakua mnaspin propaganda gani,NEUTRAL
Abantu2017 @user Toka hapa...bure wewe sore loser like your Baba,NEUTRAL
@user @user Zeeka pole pole azimio will never rule this country ata tukirudia election ndio itakuwa worse,NEUTRAL
@user @user But supporting @user who announced himself as the president after defeat is where u draw the line.... @user is the fifth upende usipende,FAKE
@user @user Am sure this is not governor unataka Tu followers parody maybe,NEUTRAL
@user @user @user Nimeanza k@user mia @user supporters bana...but knowing what they would have taken time through...wacha ikae na kazi eindelee,NEUTRAL
@user @user @user But mhesh what you were trying to do is totally unacceptable.,NEUTRAL
@user @user NPSOfficial KE Be a gentleman wacha kupigana vita yy si yako watu wa narok walikutrustia kiti ya senetor si vita plz,NEUTRAL
@user Nsaidie kazi mkubwa..please,NEUTRAL
@user Mkubwa si unipatie hio nyumba ya karen ukihamia statehouse,NEUTRAL
